SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2703,XRP,XRP,28/12/2020 23:59,0.30601611,0.23941305,0.28336628,0.24795823,8389871765,11258302527
2702,XRP,XRP,27/12/2020 23:59,0.30746432,0.27024764,0.29475767,0.28303931,9250325478,12851124973
2701,XRP,XRP,26/12/2020 23:59,0.32231431,0.28718275,0.31807418,0.29471348,9984475081,13381179323
2700,XRP,XRP,25/12/2020 23:59,0.38060334,0.28517366,0.3373313,0.31809054,16321189804,14442592187
2699,XRP,XRP,24/12/2020 23:59,0.36762372,0.24374238,0.25911278,0.33781854,16742652289,15338322460
2698,XRP,XRP,23/12/2020 23:59,0.44796625,0.22136322,0.44796625,0.25860161,19793483656,11741555006
2697,XRP,XRP,22/12/2020 23:59,0.52159859,0.41055122,0.51679174,0.44844794,15134323976,20361343191
2696,XRP,XRP,21/12/2020 23:59,0.56776671,0.50285658,0.55596128,0.5169435,9852685075,23471317699
2695,XRP,XRP,20/12/2020 23:59,0.58557933,0.53850951,0.57898984,0.55605754,9611613770,25247252305
2694,XRP,XRP,19/12/2020 23:59,0.60196099,0.5680316,0.58420025,0.57916277,11188586674,26296322781
2693,XRP,XRP,18/12/2020 23:59,0.61036131,0.55233751,0.5767385,0.58428027,14936843250,26528677892
2692,XRP,XRP,17/12/2020 23:59,0.65390934,0.5464187,0.56848847,0.57667682,21429914951,26183450958
2691,XRP,XRP,16/12/2020 23:59,0.56877157,0.44202771,0.46967655,0.56862765,15158282218,25817986327
2690,XRP,XRP,15/12/2020 23:59,0.50661016,0.4659943,0.49768758,0.46971013,9052977849,21326732025
2689,XRP,XRP,14/12/2020 23:59,0.51714076,0.49016831,0.5116076,0.49771204,7110439196,22598131537
2688,XRP,XRP,13/12/2020 23:59,0.52695974,0.48728234,0.50667821,0.51146366,8534780504,23222510729
2687,XRP,XRP,12/12/2020 23:59,0.54631603,0.48735328,0.54631603,0.50640055,10925057158,22992625207
2686,XRP,XRP,11/12/2020 23:59,0.58369333,0.53138283,0.57306241,0.54648324,10708202570,24812540805
2685,XRP,XRP,10/12/2020 23:59,0.58685587,0.55616929,0.58365728,0.57295396,9695432997,25986225091
2684,XRP,XRP,09/12/2020 23:59,0.60193942,0.50598285,0.55866688,0.58358953,12648574700,26468599510
2683,XRP,XRP,08/12/2020 23:59,0.61016055,0.55456978,0.60885754,0.55883618,8302771172,25345915393
